Address,City,State,Zipcode,Name,Phone,URL,longitude,latitude,,
9067 US Highway 31                              ,BERRIEN SPRINGS,MI ,49103,APPLE VALLEY BERRIEN  (PARENT),,,-86.354529,41.955434,,
3500 STATE ROAD 38 EAST                 ,LAFAYETTE,IN ,47905,NATURE'S PHARM *INFRA*,,,-86.86703,40.39958,,
102 6TH AVE W                           ,SPRINGFIELD,TN ,37172,"OUR SERENITY SHOP   ""B""",,,-86.885209,36.508624,,
315 W GARDEN ST                         ,PENSACOLA,FL ,32502,EVERMANS,,,-87.220983,30.411562,,
175 East Delaware Place,Chicago,IL,60611,Potash Markets,(312) 884-0060,,-87.62303,41.89882,,
875 North State Street,Chicago,IL,60610,Potash Markets,(312) 266-4200,,-87.628001,41.898672,,
1525 North Clark Street,Chicago,IL,60610,Potash Markets,(312) 337-7537,,-87.631242,41.910399,,
213 West Institute Place #709,Chicago,IL,60610,Flex Pilates Chicago,(312) 587-9000,http://flexpilateschicago.com/,-87.635206,41.897203,,
3312 N Broadway,Chicago,IL,60657,Bountiful Eatery,(773) 687-9811,http://bountifuleatery.com/,-87.6445,41.94245,,
3514 N. Southport Ave.,Chicago,IL,60657,Aligned Modern Health,(773) 248-2544,,-87.664154,41.945758,,
149 SKOKIE VALLEY ROAD                  ,HIGHLAND PARK,IL ,60035,HIGHLAND HEALTH FOODS INC.,,,-87.80357,42.15504,,
1035 MULLIGAN DR.  #2                   ,BRADLEY,IL ,60915,KANKAKEE NATURAL FOODS,,,-87.849675,41.151058,,
"2211 York Road, Suite 103",Oak Brook,IL,60523,Equator Lobby Shop,,,-87.927721,41.846452,,
804 E. Ogden Ave.,Westmont,IL,60559,Urban Tri Gear,(630) 230-9386,,-87.950402,41.812068,,
17 W 675 ROOSEVELT RD                   ,Oakbrook Terrace,IL ,60181,PETE'S FRESH MARKET,,,-87.973643,41.858775,,
5120 Belmont Road Suite G,Downers Grove,IL,60515,ADG Nutrition,,,-88.038672,41.794162,,
2321 S ONIEDA STREET                    ,GREEN BAY,WI ,54304,B-ALIVE     FF#902015,,,-88.065148,44.48831,,
488 Crescent Blvd. ,Glen Ellyn,IL,60137,The Yoga Place,(630) 534-6469,,-88.068146,41.87671,,
